mechanism,XH2_fuel,P_atm,T_K,X_NH3,X_H2O,X_NO,X_N2O
Reduced,0.05,1.0,1240.0,1.7029074813770406e-07,0.26830417584765665,0.005027892350454539,2.69827981241766e-07
Reduced,0.05,1.0,1250.0,1.664296087080739e-07,0.26769160283331384,0.005087032302081029,2.7128350200806415e-07
Reduced,0.05,1.0,1260.0,1.6304436443173845e-07,0.26707597070218986,0.005146727457873995,2.728974794464957e-07
Reduced,0.05,1.0,1270.0,1.5967099757445726e-07,0.26645731489208724,0.0052065968771024,2.745219119891257e-07
Reduced,0.05,1.0,1280.0,1.563117872272351e-07,0.2658356915082288,0.005266638160259221,2.761577069688666e-07
Reduced,0.05,1.0,1290.0,1.5338440624643072e-07,0.26521118598285,0.005327190934845367,2.7793734587174113e-07
Reduced,0.05,1.0,1300.0,1.503211657000628e-07,0.2645838175675378,0.005387784671595776,2.7968071846817653e-07
Reduced,0.3,1.0,800.0,0.16615485892134355,7.566395713318636e-05,4.428946243570246e-06,4.409501543693448e-12
Reduced,0.3,1.0,810.0,0.16614448904314344,0.00022103252421082342,1.218634702574844e-05,4.585364429724684e-11
Reduced,0.3,1.0,820.0,0.16608480007504695,0.0006429633481422218,2.766520533295356e-05,4.477219604606878e-10
Reduced,0.3,1.0,830.0,3.8236312116734283e-07,0.2915915005733014,0.0033267157166944187,2.5129760150162145e-07
Reduced,0.3,1.0,840.0,3.6773461320832953e-07,0.29111181111820283,0.0033717420204666553,2.4945685799317746e-07
Reduced,0.3,1.0,850.0,3.5413597705396853e-07,0.29062710559604515,0.0034174278384030117,2.479039820405882e-07
Reduced,0.3,1.0,860.0,3.4070622483352394e-07,0.2901375913772669,0.003463279503026537,2.4637356767992623e-07
Reduced,0.3,1.0,870.0,3.282245722378675e-07,0.28964314379689704,0.0035098014123446765,2.4511418627173775e-07
Reduced,0.3,1.0,880.0,3.163808240478738e-07,0.2891438640407079,0.0035568298823182424,2.4403232099804505e-07
Reduced,0.3,1.0,890.0,3.0513995591974584e-07,0.2886398003083349,0.0036043663414650888,2.4312038483055523e-07
Reduced,0.3,1.0,900.0,2.9446903002565604e-07,0.2881310036672714,0.0036524107893559196,2.423711042338489e-07
Reduced,0.3,1.0,910.0,2.8410848837140345e-07,0.2876175717196798,0.003700805692554323,2.417051782431138e-07
Reduced,0.3,1.0,920.0,2.7471491425544914e-07,0.28709943070783045,0.003750016985821101,2.413329166525382e-07
Reduced,0.3,1.0,930.0,2.6557515045334734e-07,0.2865767715272203,0.003799572303040793,2.4103092944201114e-07
Reduced,0.3,1.0,940.0,2.568919596956956e-07,0.28604961386081773,0.003849622896364787,2.4086541453141693e-07
Reduced,0.3,1.0,950.0,2.486410397404986e-07,0.28551802422969347,0.0039001627824567717,2.408304964773277e-07
Reduced,0.3,1.0,960.0,2.407995061709244e-07,0.2849820724709533,0.00395118499381202,2.4092054510257705e-07
Reduced,0.3,1.0,970.0,2.3334580370623797e-07,0.2844418318151185,0.00400268164066494,2.4113016410524146e-07
Reduced,0.3,1.0,980.0,2.2625962414354895e-07,0.28389737896523487,0.004054643969331078,2.414541802017143e-07
Reduced,0.3,1.0,990.0,2.1952182808480696e-07,0.28334879417045983,0.004107062416178333,2.418876320597734e-07
Reduced,0.3,1.0,1000.0,2.1311437302213587e-07,0.2827961613038487,0.004159926658006108,2.424257599564181e-07
